2024-10-09 17:57:43.572 [info] Extension host with pid 1752 started
2024-10-09 17:57:43.681 [info] ExtensionService#_doActivateExtension eamodio.gitlens, startup: false, activationEvent: 'onWebviewPanel:gitlens.welcome'
2024-10-09 17:57:43.951 [info] ExtensionService#_doActivateExtension ms-vsliveshare.vsliveshare, startup: false, activationEvent: 'api', root cause: eamodio.gitlens
2024-10-09 17:57:44.346 [info] ExtensionService#_doActivateExtension vscode.git-base, startup: true, activationEvent: '*', root cause: vscode.git
2024-10-09 17:57:44.346 [info] ExtensionService#_doActivateExtension howardzuo.vscode-git-tags, startup: true, activationEvent: '*'
2024-10-09 17:57:44.347 [info] ExtensionService#_doActivateExtension mhutchie.git-graph, startup: true, activationEvent: '*'
2024-10-09 17:57:44.452 [error] Activating extension howardzuo.vscode-git-tags failed due to an error:
2024-10-09 17:57:44.452 [error] TypeError: Cannot read properties of undefined (reading '0')
	at new GitTagsViewProvider (/home/jojomaverik/.vscode-server/extensions/howardzuo.vscode-git-tags-1.4.4/out/gitTagsViewProvider.js:37:78)
	at activate (/home/jojomaverik/.vscode-server/extensions/howardzuo.vscode-git-tags-1.4.4/out/index.js:43:22)
	at Y0.kb (file:///home/jojomaverik/.vscode-server/bin/e10f2369d0d9614a452462f2e01cdc4aa9486296/out/vs/workbench/api/node/extensionHostProcess.js:118:15217)
	at Y0.jb (file:///home/jojomaverik/.vscode-server/bin/e10f2369d0d9614a452462f2e01cdc4aa9486296/out/vs/workbench/api/node/extensionHostProcess.js:118:14924)
	at file:///home/jojomaverik/.vscode-server/bin/e10f2369d0d9614a452462f2e01cdc4aa9486296/out/vs/workbench/api/node/extensionHostProcess.js:118:13082
	at process.processTicksAndRejections (node:internal/process/task_queues:95:5)
	at async x0.n (file:///home/jojomaverik/.vscode-server/bin/e10f2369d0d9614a452462f2e01cdc4aa9486296/out/vs/workbench/api/node/extensionHostProcess.js:114:4450)
	at async x0.m (file:///home/jojomaverik/.vscode-server/bin/e10f2369d0d9614a452462f2e01cdc4aa9486296/out/vs/workbench/api/node/extensionHostProcess.js:114:4413)
	at async x0.l (file:///home/jojomaverik/.vscode-server/bin/e10f2369d0d9614a452462f2e01cdc4aa9486296/out/vs/workbench/api/node/extensionHostProcess.js:114:3869)
2024-10-09 17:57:44.452 [info] ExtensionService#_doActivateExtension vscode.git, startup: true, activationEvent: '*'
2024-10-09 17:57:44.452 [info] ExtensionService#_doActivateExtension vscode.github, startup: true, activationEvent: '*'
2024-10-09 17:57:44.640 [info] Eager extensions activated
2024-10-09 17:57:44.641 [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: false, activationEvent: 'onStartupFinished'
2024-10-09 17:57:44.641 [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
2024-10-09 17:57:44.907 [info] ExtensionService#_doActivateExtension GitHub.vscode-pull-request-github, startup: false, activationEvent: 'onStartupFinished'
2024-10-09 17:59:03.205 [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onLanguage'
2024-10-09 17:59:11.243 [info] Extension host terminating: received terminate message from renderer
2024-10-09 17:59:11.309 [error] Canceled: Canceled
	at new eA (file:///home/jojomaverik/.vscode-server/bin/e10f2369d0d9614a452462f2e01cdc4aa9486296/out/vs/workbench/api/node/extensionHostProcess.js:31:151177)
	at Zb.U (file:///home/jojomaverik/.vscode-server/bin/e10f2369d0d9614a452462f2e01cdc4aa9486296/out/vs/workbench/api/node/extensionHostProcess.js:31:155789)
